Role,Location,Category,URL
Executive Assistant,,Sales,https://www.lifeatspotify.com/jobs/executive-assistant,,,
"Product Manager, New Monetization Opportunities",,Product,https://www.lifeatspotify.com/jobs/product-manager-new-monetization-opportunities,,,
Client Services & Asset Development Lead,,Content,https://www.lifeatspotify.com/jobs/client-services-asset-development-lead,,,
"Senior Manager, Advertising FP&A",,Finance,https://www.lifeatspotify.com/jobs/senior-manager-advertising-fpa,,,
"Data Scientist, Business Strategy & Insights: Business Intelligence",,"Data, Research & Insights",https://www.lifeatspotify.com/jobs/data-scientist-business-strategy-insights-business-intelligence,,,
Client Partner ANZ (Contract),,Sales,https://www.lifeatspotify.com/jobs/client-partner-anz-contract-2,,,
"Backend Engineer, Advertising",,Engineering,https://www.lifeatspotify.com/jobs/backend-engineer-advertising,,,
"Lead US Latin, Artist Partnerships",,Content,https://www.lifeatspotify.com/jobs/lead-us-latin-artist-partnerships,,,
"Junior Quantitative Developer, Forecasting",,"Data, Research & Insights",https://www.lifeatspotify.com/jobs/junior-quantitative-developer-forecasting,,,
"Manager, Creative Partnerships, Advertising Business Development",,Sales,https://www.lifeatspotify.com/jobs/manager-creative-partnerships-advertising-business-development,,,
"Product Design Manager, Music",,Design,https://www.lifeatspotify.com/jobs/design-manager-music,,,
"Manager, Demand Marketing",,Marketing,https://www.lifeatspotify.com/jobs/manager-demand-marketing,,,
"Senior Analyst, User Acquisition, Global Markets & Marketing Profitability",,Finance,https://www.lifeatspotify.com/jobs/senior-analyst-user-acquisition-global-markets-marketing-profitability,,,
Senior Backend Engineer,,Engineering,https://www.lifeatspotify.com/jobs/senior-backend-engineer,,,
"Client Partner, Entertainment, UK",,Sales,https://www.lifeatspotify.com/jobs/client-partner-entertainment-uk,,,
"Director of Sales, Emerging & Scaled, UK",,Sales,https://www.lifeatspotify.com/jobs/director-of-sales-emerging-scaled-uk,,,
"Senior Security Engineer, Detection and Response",,Engineering,https://www.lifeatspotify.com/jobs/senior-security-engineer-detection-and-response,,,
"Junior Android Engineer, Core Experience",,Engineering,https://www.lifeatspotify.com/jobs/junior-android-engineer-core-experience,,,
"Full-Stack Engineer, Consumer Experience",,Engineering,https://www.lifeatspotify.com/jobs/full-stack-engineer-consumer-experience,,,
"Senior Policy Analyst, International Legislative & Regulatory Affairs",,Global Affairs,https://www.lifeatspotify.com/jobs/senior-policy-analyst-international-legislative-regulatory-affairs,,,
Manager of State & Local Government Affairs,,Global Affairs,https://www.lifeatspotify.com/jobs/manager-of-state-local-government-affairs,,,
"Client Partner, Auto",,Sales,https://www.lifeatspotify.com/jobs/client-partner-auto,,,
Growth Account Executive,,Sales,https://www.lifeatspotify.com/jobs/growth-account-executive-2,,,
Japan Head of Communications,,Global Affairs,https://www.lifeatspotify.com/jobs/japan-head-of-communications,,,
Workday Integration Specialist,,Human Resources,https://www.lifeatspotify.com/jobs/workday-integration-specialist,,,
"Senior Machine Learning Engineering Manager, Personalization",,Engineering,https://www.lifeatspotify.com/jobs/senior-machine-learning-engineering-manager-personalization,,,
"Client Partner, Mid Market (South)",,Sales,https://www.lifeatspotify.com/jobs/client-partner-mid-market-south,,,
"Client Partner, Export Business",,Sales,https://www.lifeatspotify.com/jobs/client-partner-export-business-opportunities,,,
Senior Security GRC Manager,,Product,https://www.lifeatspotify.com/jobs/senior-security-grc-manager,,,
"Staff Designer, Platform",,Product,https://www.lifeatspotify.com/jobs/staff-designer-platform,,,
"Scaled Sales Lead, Vendor Operations",,Sales,https://www.lifeatspotify.com/jobs/scaled-sales-lead-vendor-operations,,,
"Early Career Program, Associate Marketing Coordinator Japan",,Students,https://www.lifeatspotify.com/jobs/early-career-program-associate-marketing-coordinator-japan,,,
Client Partner ANZ (Contract),,Sales,https://www.lifeatspotify.com/jobs/client-partner-anz-contract,,,
"Client Partner- CEE, Israel & Turkey Region",,Sales,https://www.lifeatspotify.com/jobs/client-partner-cee-israel-turkey-region,,,
"Senior Editor, Audiobooks, Dutch",,Support & Operations,https://www.lifeatspotify.com/jobs/senior-editor-audiobooks-dutch,,,
"Senior Editor, Audiobooks, French",,Support & Operations,https://www.lifeatspotify.com/jobs/senior-editor-audiobooks-french,,,
Programmatic Automation Manager,,Sales,https://www.lifeatspotify.com/jobs/automation-manager,,,
Production Manager,,Content,https://www.lifeatspotify.com/jobs/production-manager,,,
Client Partner ANZ,,Sales,https://www.lifeatspotify.com/jobs/client-partner-anz,,,
Data Scientist,,"Data, Research & Insights",https://www.lifeatspotify.com/jobs/data-scientist-ii,,,
Machine Learning Engineering Manager,,Engineering,https://www.lifeatspotify.com/jobs/machine-learning-engineering-manager,,,
Senior Machine Learning Engineer,,Engineering,https://www.lifeatspotify.com/jobs/senior-machine-learning-engineer,,,
"Director of Sales, UK",,Sales,https://www.lifeatspotify.com/jobs/director-of-sales-uk,,,
"Senior Accountant, General Ledger Accounting",,Finance,https://www.lifeatspotify.com/jobs/senior-accountant-general-ledger-accounting,,,
"Senior Analyst, Internal Audit",,Finance,https://www.lifeatspotify.com/jobs/senior-analyst-internal-audit,,,
"Early Career Program, Associate Music Editorial Coordinator Japan",,Students,https://www.lifeatspotify.com/jobs/early-career-program-associate-music-coordinator-japan,,,
"Client Partner, Travel, UK",,Sales,https://www.lifeatspotify.com/jobs/client-partner-travel-uk,,,
Campaign Manager ANZ,,Sales,https://www.lifeatspotify.com/jobs/campaign-manager-anz,,,
Director of Sales India Media and Financial Services,,Sales,https://www.lifeatspotify.com/jobs/director-of-sales-india-media-and-financial-services,,,
"Partnerships Operations Manager, London",,Sales,https://www.lifeatspotify.com/jobs/partnerships-operations-manager-london,,,
"Senior Manager, Accounting, Source to Procure",,Finance,https://www.lifeatspotify.com/jobs/senior-manager-accounting-source-to-procure,,,
"Artist & Label Partnerships Manager, Korea",,Support & Operations,https://www.lifeatspotify.com/jobs/artist-label-partnerships-manager-korea,,,
KPop Marketing Manager Korea,,Marketing,https://www.lifeatspotify.com/jobs/kpop-marketing-manager-korea,,,
Client Partner Philippines,,Sales,https://www.lifeatspotify.com/jobs/client-partner-philippines,,,
Marketing Manager Philippines,,Marketing,https://www.lifeatspotify.com/jobs/marketing-manager-philippines,,,
"Tax Manager, Tax Accounting and Tax Forecasting",,Finance,https://www.lifeatspotify.com/jobs/tax-manager-tax-accounting-and-tax-forecasting,,,
"Client Partner, Emerging & Scaled",,Sales,https://www.lifeatspotify.com/jobs/client-partner-emerging-scaled,,,
Business Development Manager Sub Saharan Africa,,Support & Operations,https://www.lifeatspotify.com/jobs/business-development-manager-sub-saharan-africa,,,
